INSERT INTO alimentos (;,;);VALUES;(;;;;;;;
id_alimento;categoria;descricao;caloria;proteina;lipideo;carboidrato;fibra;sodio;;;
309;Pescados e frutos do mar;Pescada, filé, molho escabeche;141;11,8;8;5;0,8;51;;;
310;Pescados e frutos do mar;Pescadinha, crua;76;15,5;1,1;0;NA;120;;;
311;Pescados e frutos do mar;Pintado, assado;191;36,5;4;0;NA;80;;;
312;Pescados e frutos do mar;Pintado, cru;91;18,6;1,3;0;NA;43;;;
313;Pescados e frutos do mar;Pintado, grelhado;152;30,8;2,3;0;NA;53;;;
314;Pescados e frutos do mar;Porquinho, cru;93;20,5;0,6;0;NA;66;;;
315;Pescados e frutos do mar;Salmão, filé, com pele, fresco,  grelhado;228;23,9;14;0;NA;85;;;
316;Pescados e frutos do mar;Salmão, sem pele, fresco, cru;169;19,3;9,7;0;NA;64;;;
317;Pescados e frutos do mar;Salmão, sem pele, fresco, grelhado;242;26,1;14,5;0;NA;95;;;
318;Pescados e frutos do mar;Sardinha, assada;164;32,2;3;0;NA;74;;;
319;Pescados e frutos do mar;Sardinha, conserva em óleo;284;15,9;24;0;NA;665;;;
320;Pescados e frutos do mar;Sardinha, frita;257;33,4;12,7;0;NA;60;;;
321;Pescados e frutos do mar;Sardinha, inteira, crua;113;21,1;2,6;0;NA;60;;;
322;Pescados e frutos do mar;Tucunaré, filé, congelado, cru;87;18;1,2;0;NA;56;;;
323;Carnes e derivados;Apresuntado;128;13,4;6,7;2,9;NA;942;;;
324;Carnes e derivados;Caldo de carne, tablete;240;7,8;16,6;15,1;0,6;22179;;;
325;Carnes e derivados;Caldo de galinha, tablete;251;6,3;20,4;10,6;11,8;22299;;;
326;Carnes e derivados;Carne, bovina, acém, moído, cozido;212;26,7;10,9;0;NA;52;;;
327;Carnes e derivados;Carne, bovina, acém, moído, cru;136;19,4;5,9;0;NA;48;;;
328;Carnes e derivados;Carne, bovina, acém, sem gordura, cozido;214;27,3;10,9;0;NA;56;;;
329;Carnes e derivados;Carne, bovina, acém, sem gordura, cru;144;20,8;6,1;0;NA;49;;;
330;Carnes e derivados;Carne, bovina, almôndegas, cruas;189;12,3;11,2;9,8;*;621;;;
331;Carnes e derivados;Carne, bovina, almôndegas, fritas;271;18,2;15,8;14,3;*;1030;;;
332;Carnes e derivados;Carne, bovina, bucho, cozido;133;21,6;4,5;0;NA;38;;;
333;Carnes e derivados;Carne, bovina, bucho, cru;137;20,5;5,5;0;NA;45;;;
334;Carnes e derivados;Carne, bovina, capa de contra-filé, com gordura, crua;216;19,2;15;0;NA;57;;;
335;Carnes e derivados;Carne, bovina, capa de contra-filé, com gordura, grelhada;311;30,7;20;0;NA;80;;;
336;Carnes e derivados;Carne, bovina, capa de contra-filé, sem gordura, crua;131;21,5;4,3;0;NA;79;;;
337;Carnes e derivados;Carne, bovina, capa de contra-filé, sem gordura, grelhada;239;35,1;9,9;0;NA;82;;;
338;Carnes e derivados;Carne, bovina, charque, cozido;262;36,4;11,9;0;NA;1442;;;
339;Carnes e derivados;Carne, bovina, charque, cru;248;22,7;16,8;0;NA;5875;;;
340;Carnes e derivados;Carne, bovina, contra-filé, à milanesa;351;20,6;24;12,2;0,4;77;;;
341;Carnes e derivados;Carne, bovina, contra-filé de costela, cru;202;19,8;13,1;0;NA;38;;;
342;Carnes e derivados;Carne, bovina, contra-filé de costela, grelhado;274;29,9;16,3;0;NA;50;;;
343;Carnes e derivados;Carne, bovina, contra-filé, com gordura, cru;205;21,1;12,8;0;NA;44;;;
344;Carnes e derivados;Carne, bovina, contra-filé, com gordura, grelhado;278;32,4;15,5;0;NA;57;;;
345;Carnes e derivados;Carne, bovina, contra-filé, sem gordura, cru;156;24;6;0;NA;52;;;
346;Carnes e derivados;Carne, bovina, contra-filé, sem gordura, grelhado;193;35,9;4,5;0;NA;57;;;
347;Carnes e derivados;Carne, bovina, costela, assada;373;28,8;27,7;0;NA;91;;;
348;Carnes e derivados;Carne, bovina, costela, crua;357;16,7;31,8;0;NA;69;;;
349;Carnes e derivados;Carne, bovina, coxão duro, sem gordura, cozido;216;31,9;8,9;0;NA;41;;;
350;Carnes e derivados;Carne, bovina, coxão duro, sem gordura, cru;147;21,5;6,2;0;NA;48;;;
351;Carnes e derivados;Carne, bovina, coxão mole, sem gordura, cozido;218;32,4;8,9;0;NA;43;;;
352;Carnes e derivados;Carne, bovina, coxão mole, sem gordura, cru;169;21,2;8,7;0;NA;60;;;
353;Carnes e derivados;Carne, bovina, cupim, assado;330;28,6;23;0;NA;71;;;
354;Carnes e derivados;Carne, bovina, cupim, cru;221;19,5;15,3;0;NA;46;;;
355;Carnes e derivados;Carne, bovina, fígado, cru;141;20,7;5,4;1,1;NA;75;;;
356;Carnes e derivados;Carne, bovina, fígado, grelhado;225;29,9;9;4,2;NA;82;;;
357;Carnes e derivados;Carne, bovina, filé mingnon, sem gordura, cru;142;21,6;5,6;0;NA;48;;;
358;Carnes e derivados;Carne, bovina, filé mingnon, sem gordura, grelhado;219;32,8;8,8;0;NA;57;;;
359;Carnes e derivados;Carne, bovina, flanco, sem gordura, cozido;195;29,4;7,8;0;NA;41;;;
360;Carnes e derivados;Carne, bovina, flanco, sem gordura, cru;141;20;6,2;0;NA;54;;;
361;Carnes e derivados;Carne, bovina, fraldinha, com gordura, cozida;338;24,2;26;0;NA;38;;;
362;Carnes e derivados;Carne, bovina, fraldinha, com gordura, crua;220;17,6;16,1;0;NA;51;;;
363;Carnes e derivados;Carne, bovina, lagarto, cozido;222;32,9;9,1;0;NA;47;;;
364;Carnes e derivados;Carne, bovina, lagarto, cru;134;20,5;5,2;0;NA;53;;;
365;Carnes e derivados;Carne, bovina, língua, cozida;314;21,4;24,8;0;NA;59;;;
366;Carnes e derivados;Carne, bovina, língua, crua;215;17,1;15,8;0;NA;73;;;
367;Carnes e derivados;Carne, bovina, maminha, crua;152;20,9;7;0;NA;37;;;
368;Carnes e derivados;Carne, bovina, maminha, grelhada;153;30,7;2,4;0;NA;58;;;
369;Carnes e derivados;Carne, bovina, miolo de alcatra, sem gordura, cru;162;21,6;7,8;0;NA;43;;;
370;Carnes e derivados;Carne, bovina, miolo de alcatra, sem gordura, grelhado;241;31,9;11,6;0;NA;51;;;
371;Carnes e derivados;Carne, bovina, músculo, sem gordura, cozido;193;31,2;6,7;0;NA;61;;;
372;Carnes e derivados;Carne, bovina, músculo, sem gordura, cru;141;21,6;5,5;0;NA;66;;;
373;Carnes e derivados;Carne, bovina, paleta, com gordura, crua;158;21,4;7,5;0;NA;64;;;
374;Carnes e derivados;Carne, bovina, paleta, sem gordura, cozida;193;29,7;7,4;0;NA;57;;;
375;Carnes e derivados;Carne, bovina, paleta, sem gordura, crua;140;21;5,7;0;NA;65;;;
376;Carnes e derivados;Carne, bovina, patinho, sem gordura, cru;133;21,7;4,5;0;NA;49;;;
377;Carnes e derivados;Carne, bovina, patinho, sem gordura, grelhado;219;35,9;7,3;0;NA;60;;;
378;Carnes e derivados;Carne, bovina, peito, sem gordura, cozido;338;22,2;27;0;NA;55;;;
379;Carnes e derivados;Carne, bovina, peito, sem gordura, cru;259;17,6;20,4;0;NA;63;;;
380;Carnes e derivados;Carne, bovina, picanha, com gordura, crua;212;18,8;14,7;0;NA;37;;;
381;Carnes e derivados;Carne, bovina, picanha, com gordura, grelhada;288;26,4;19,5;0;NA;60;;;
382;Carnes e derivados;Carne, bovina, picanha, sem gordura, crua;133;21,2;4,7;0;NA;61;;;
383;Carnes e derivados;Carne, bovina, picanha, sem gordura, grelhada;238;31,9;11,3;0;NA;60;;;
384;Carnes e derivados;Carne, bovina, seca, cozida;312;26,9;21,9;0;NA;1943;;;
385;Carnes e derivados;Carne, bovina, seca, crua;312;19,7;25,4;0;NA;4439;;;
386;Carnes e derivados;Coxinha de frango, frita;283;9,6;11,8;34,5;5;532;;;
387;Carnes e derivados;Croquete, de carne, cru;245;12;15,6;13,9;;710;;;
388;Carnes e derivados;Croquete, de carne, frito;346;16,9;22,7;18,1;;916;;;
389;Carnes e derivados;Empada de frango, pré-cozida, assada;358;6,9;15,6;47,5;2,2;524;;;
390;Carnes e derivados;Empada, de frango, pré-cozida;377;7,3;22,9;35,5;2,2;770;;;
391;Carnes e derivados;Frango, asa, com pele, crua;213;18,1;15,1;0;NA;96;;;
392;Carnes e derivados;Frango, caipira, inteiro, com pele, cozido;242;23,9;15,6;0;NA;56;;;
393;Carnes e derivados;Frango, caipira, inteiro, sem pele, cozido;195;29,6;7,7;0;NA;53;;;
394;Carnes e derivados;Frango, coração, cru;221;12,6;18,6;0;NA;95;;;
395;Carnes e derivados;Frango, coração, grelhado;207;22,4;12,1;0,6;NA;128;;;
396;Carnes e derivados;Frango, coxa, com pele, assada;215;28,5;10,4;0,1;NA;94;;;
397;Carnes e derivados;Frango, coxa, com pele, crua;161;17,1;9,8;0;NA;94;;;
398;Carnes e derivados;Frango, coxa, sem pele, cozida;167;26,9;5,8;0;NA;64;;;
399;Carnes e derivados;Frango, coxa, sem pele, crua;119;17,8;4,9;0;NA;98;;;
400;Carnes e derivados;Frango, fígado, cru;106;17,6;3,5;0;NA;82;;;
401;Carnes e derivados;Frango, filé, à milanesa;220;28,5;7,8;7,5;1,1;122;;;
402;Carnes e derivados;Frango, inteiro, com pele, cru;226;16,4;17,3;0;NA;62;;;
403;Carnes e derivados;Frango, inteiro, sem pele, assado;187;28;7,5;0;NA;70;;;
404;Carnes e derivados;Frango, inteiro, sem pele, cozido;170;25;7,1;0;NA;50;;;
405;Carnes e derivados;Frango, inteiro, sem pele, cru;129;20,6;4,6;0;NA;72;;;
406;Carnes e derivados;Frango, peito, com pele, assado;211;33,4;7,6;0;NA;55;;;
407;Carnes e derivados;Frango, peito, com pele, cru;149;20,8;6,7;0;NA;62;;;
408;Carnes e derivados;Frango, peito, sem pele, cozido;162;31,5;3,2;0;NA;36;;;
409;Carnes e derivados;Frango, peito, sem pele, cru;119;21,5;3;0;NA;56;;;
410;Carnes e derivados;Frango, peito, sem pele, grelhado;159;32;2,5;0;NA;50;;;
411;Carnes e derivados;Frango, sobrecoxa, com pele, assada;259;28,7;15,2;0;NA;95;;;
412;Carnes e derivados;Frango, sobrecoxa, com pele, crua;254;15,5;20,9;0;NA;68;;;
413;Carnes e derivados;Frango, sobrecoxa, sem pele, assada;232;29,2;12;0;NA;106;;;
414;Carnes e derivados;Frango, sobrecoxa, sem pele, crua;161;17,6;9,6;0;NA;79;;;
415;Carnes e derivados;Hambúrguer, bovino, cru;214;13,2;16,2;4,2;*;869;;;
416;Carnes e derivados;Hambúrguer, bovino, frito;258;20;17;6,3;*;1251;;;
417;Carnes e derivados;Hambúrguer, bovino, grelhado;209;13,2;12,4;11,3;*;1090;;;
418;Carnes e derivados;Lingüiça, frango, crua;218;14,2;17,4;0;NA;1125;;;
419;Carnes e derivados;Lingüiça, frango, frita;245;18,3;18,5;0;NA;1373;;;
420;Carnes e derivados;Lingüiça, frango, grelhada;243;18,2;18,4;0;NA;1351;;;
421;Carnes e derivados;Lingüiça, porco, crua;227;16,1;17,6;0;NA;1175;;;
422;Carnes e derivados;Lingüiça, porco, frita;279;20,5;21,3;0;NA;1431;;;
423;Carnes e derivados;Lingüiça, porco, grelhada;296;23,2;21,9;0;NA;1455;;;
424;Carnes e derivados;Mortadela;268;12;21,6;5,8;NA;1212;;;
425;Carnes e derivados;Peru, congelado, assado;163;26,2;5,7;0;NA;627;;;
426;Carnes e derivados;Peru, congelado, cru;93;18,1;1,8;0;NA;710;;;
427;Carnes e derivados;Porco, bisteca, crua;164;21,5;8;0;NA;54;;;
428;Carnes e derivados;Porco, bisteca, frita;311;33,7;18,5;0;NA;63;;;
429;Carnes e derivados;Porco, bisteca, grelhada;280;28,9;17,4;0;NA;51;;;
430;Carnes e derivados;Porco, costela, assada;402;30,2;30,3;0;NA;62;;;
431;Carnes e derivados;Porco, costela, crua;255;18;19,8;0;NA;87;;;
432;Carnes e derivados;Porco, lombo, assado;210;35,7;6,4;0;NA;38;;;
433;Carnes e derivados;Porco, lombo, cru;175;22,6;8,8;0;NA;53;;;
434;Carnes e derivados;Porco, orelha, salgada, crua;258;18,5;19,9;0;NA;615;;;
435;Carnes e derivados;Porco, pernil, assado;262;32,1;13,9;0;NA;62;;;
436;Carnes e derivados;Porco, pernil, cru;186;20,1;11,1;0;NA;101;;;
437;Carnes e derivados;Porco, rabo, salgado, cru;377;15,6;34,5;0;NA;1157;;;
438;Carnes e derivados;Presunto, com capa de gordura;127;14,4;6,8;1,4;NA;1020;;;
439;Carnes e derivados;Presunto, sem capa de gordura;93;14,3;2,7;2,1;NA;1039;;;
440;Carnes e derivados;Quibe, assado;136;14,6;2,7;12,9;1,9;39;;;
441;Carnes e derivados;Quibe, cru;109;12,4;1,7;10,8;1,6;38;;;
442;Carnes e derivados;Quibe, frito;253;14,9;15,8;12,3;;835;;;
443;Carnes e derivados;Salame;397;25,8;30,6;2,9;NA;1574;;;
444;Carnes e derivados;Toucinho, cru;592;11,5;60,3;0;NA;49;;;
445;Carnes e derivados;Toucinho, frito;696;27,3;64,3;0;NA;124;;;
446;Leite e derivados;Bebida láctea, pêssego;55;2,1;1,9;7,6;0,3;46;;;
447;Leite e derivados;Creme de Leite;221;1,5;22,5;4,5;NA;51;;;
448;Leite e derivados;Iogurte, natural;51;4,1;3;1,9;NA;51;;;
449;Leite e derivados;Iogurte, natural, desnatado;41;3,8;0,3;5,8;NA;59;;;
450;Leite e derivados;Iogurte, sabor abacaxi;*;*;*;*;*;*;;;
451;Leite e derivados;Iogurte, sabor morango;69;2,7;2,3;9,7;0,2;37;;;
452;Leite e derivados;Iogurte, sabor pêssego;67;2,5;2,3;9,4;0,7;36;;;
453;Leite e derivados;Leite, condensado;312;7,7;6,7;57;NA;93;;;
454;Leite e derivados;Leite, de cabra;66;3,1;3,8;5,2;NA;73;;;
455;Leite e derivados;Leite, de vaca, achocolatado;82;2,1;2,2;14,2;0,6;71;;;
456;Leite e derivados;Leite, de vaca, desnatado, pó;361;34,7;0,9;53;NA;431;;;
457;Leite e derivados;Leite, de vaca, desnatado, UHT;*;*;*;*;NA;51;;;
458;Leite e derivados;Leite, de vaca, integral;*;*;*;*;NA;63;;;
459;Leite e derivados;Leite, de vaca, integral, pó;496;25,4;26,9;39,2;NA;323;;;
460;Leite e derivados;Leite, fermentado;69;1,9;0,1;15,7;NA;33;;;
461;Leite e derivados;Queijo, minas, frescal;264;17,4;20,2;3,2;NA;31;;;
462;Leite e derivados;Queijo, minas, meia cura;320;21,2;24,6;3,6;NA;501;;;
463;Leite e derivados;Queijo, mozarela;329;22,6;25,2;3;NA;581;;;
464;Leite e derivados;Queijo, parmesão;452;35,6;33,5;1,7;NA;1844;;;
465;Leite e derivados;Queijo, pasteurizado;303;9,4;27,4;5,7;NA;780;;;
466;Leite e derivados;Queijo, petit suisse, morango;121;5,8;2,8;18,5;NA;412;;;
467;Leite e derivados;Queijo, prato;359;22,7;29,1;1,9;NA;579;;;
468;Leite e derivados;Queijo, requeijão, cremoso;256;9,6;23,4;2,4;NA;557;;;
469;Leite e derivados;Queijo, ricota;139;12,6;8,1;3,8;NA;282;;;
470;Bebidas (alcoólicas e não alcoólicas);Bebida isotônica, sabores variados;25;0;0;6,4;NA;44;;;
471;Bebidas (alcoólicas e não alcoólicas);Café, infusão 10%;9;0,7;0,1;1,5;NA;1;;;
472;Bebidas (alcoólicas e não alcoólicas);Cana, aguardente 1;215;;;;NA;3;;;
473;Bebidas (alcoólicas e não alcoólicas);Cana, caldo de;65;Tr;Tr;18,2;0,1;Tr;;;
474;Bebidas (alcoólicas e não alcoólicas);Cerveja, pilsen 2;40;0,6;Tr;3,3;NA;4;;;
475;Bebidas (alcoólicas e não alcoólicas);Chá, erva-doce, infusão 5%;1;0;0;0,4;NA;0;;;
476;Bebidas (alcoólicas e não alcoólicas);Chá, mate, infusão 5%;2;0;0,1;0,6;NA;Tr;;;
477;Bebidas (alcoólicas e não alcoólicas);Chá, preto, infusão 5%;2;0;0;0,6;NA;Tr;;;
478;Bebidas (alcoólicas e não alcoólicas);Coco, água de;21;0;0;5,3;0,1;1;;;
479;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo água tônica;30;0;0;8;NA;8;;;
480;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo cola;33;0;0;8,7;NA;7;;;
481;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo guaraná;38;0;0;10;NA;9;;;
482;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo laranja;45;0;0;11,8;NA;9;;;
483;Bebidas (alcoólicas e não alcoólicas);Refrigerante, tipo limão;39;0;0;10,3;NA;8;;;
484;Ovos e derivados;Omelete, de queijo;268;15,6;22;0,4;NA;216;;;
485;Ovos e derivados;Ovo, de codorna, inteiro, cru;176;13,7;12,7;0,8;NA;128;;;
486;Ovos e derivados;Ovo, de galinha, clara, cozida/10minutos;59;13,4;0,1;0;NA;180;;;
487;Ovos e derivados;Ovo, de galinha, gema, cozida/10minutos;352;15,9;30,8;1,6;NA;44;;;
488;Ovos e derivados;Ovo, de galinha, inteiro, cozido/10minutos;145;13,3;9,5;0,6;NA;145;;;
489;Ovos e derivados;Ovo, de galinha, inteiro, cru;143;13;8,9;1,6;NA;167;;;
490;Ovos e derivados;Ovo, de galinha, inteiro, frito;240;15,6;18,6;1,2;NA;166;;;
491;Produtos açucarados;Achocolatado, pó;401;4,2;2,2;91,2;3,9;64;;;
492;Produtos açucarados;Açúcar, cristal;386;0,3;Tr;99,6;NA;Tr;;;
493;Produtos açucarados;Açúcar, mascavo;368;0,8;0,1;94,5;NA;25;;;
494;Produtos açucarados;Açúcar, refinado;386;0,3;Tr;99,5;NA;12;;;
495;Produtos açucarados;Chocolate, ao leite;539;7,2;30,3;59,6;2,2;77;;;
496;Produtos açucarados;Chocolate, ao leite, com castanha do Pará;558;7,4;34,2;55,4;2,5;64;;;
497;Produtos açucarados;Chocolate, ao leite, dietético;556;6,9;33,8;56,3;2,8;84;;;
498;Produtos açucarados;Chocolate, meio amargo;474;4,9;29,9;62,4;4,9;8;;;
499;Produtos açucarados;Cocada branca;448;1,1;13,6;81,4;3,6;28;;;
500;Produtos açucarados;Doce, de abóbora, cremoso;198;0,9;0,2;54,6;2,3;Tr;;;
501;Produtos açucarados;Doce, de leite, cremoso;306;5,5;6;59,5;NA;120;;;
502;Produtos açucarados;Geléia, mocotó, natural;106;2,1;0,1;24,2;NA;42;;;
503;Produtos açucarados;Glicose de milho;292;0;0;79,4;NA;58;;;
504;Produtos açucarados;Maria mole;301;3,8;0,2;73,6;0,7;15;;;
505;Produtos açucarados;Maria mole, coco queimado;306;3,9;0,1;75,1;0,6;14;;;
506;Produtos açucarados;Marmelada;257;0,4;0,1;70,8;4,1;10;;;
507;Produtos açucarados;Mel, de abelha;309;0;0;84;NA;6;;;
508;Produtos açucarados;Melado;296;0;0;76,6;NA;4;;;
509;Produtos açucarados;Quindim;411;4,7;24,4;46,3;3,2;27;;;
510;Produtos açucarados;Rapadura;351;1;0,1;90,8;NA;21;;;
511;Miscelâneas;Café, pó, torrado;418;14,7;11,9;65,8;51,2;1;;;
512;Miscelâneas;Capuccino, pó;417;11,3;8,6;73,6;2,4;382;;;
513;Miscelâneas;Fermento em pó, químico;89;0,5;0,1;43,9;NA;10052;;;
514;Miscelâneas;Fermento, biológico, levedura, tablete;89;17;1,5;7,7;4,2;39;;;
515;Miscelâneas;Gelatina, sabores variados, pó;380;8,9;Tr;89,2;NA;234;;;
516;Miscelâneas;Sal, dietético;NA;NA;NA;NA;NA;23431;;;
517;Miscelâneas;Sal, grosso;NA;NA;NA;NA;NA;39943;;;
518;Miscelâneas;Shoyu;60;3,3;0,3;11,6;NA;5024;;;
519;Miscelâneas;Tempero a base de sal;21;2,7;0,3;2,1;0,6;32560;;;
520;Outros alimentos industrializados;Azeitona, preta, conserva;194;1,2;20,3;5,5;4,6;1566;;;
521;Outros alimentos industrializados;Azeitona, verde, conserva;136;0,9;14,2;4,1;3,8;1347;;;
522;Outros alimentos industrializados;Chantilly, spray, com gordura vegetal;314;0,5;27,3;16,9;NA;109;;;
523;Outros alimentos industrializados;Leite, de coco;166;1;18,4;2,2;0,7;44;;;
524;Outros alimentos industrializados;Maionese, tradicional com ovos;302;0,6;30,5;7,9;NA;786;;;
525;Alimentos preparados;Acarajé;289;8,3;19,9;19,1;9,4;304;;;
526;Alimentos preparados;Arroz carreteiro;153;10,8;7,1;11,6;1,5;1621;;;
527;Alimentos preparados;Baião de dois, arroz e feijão-de-corda;135;6,2;3,2;20,4;5,1;93;;;
528;Alimentos preparados;Barreado;164;18,3;9,5;0,2;0,1;47;;;
529;Alimentos preparados;Bife à cavalo, com contra filé;291;23,7;21,1;0;NA;82;;;
530;Alimentos preparados;Bolinho de arroz;273;8;8,3;41,7;2,7;58;;;
531;Alimentos preparados;Camarão à baiana;100;7,9;6;3,2;0,4;84;;;
532;Alimentos preparados;Charuto, de repolho;78;6,8;1,1;10,1;1,5;12;;;
533;Alimentos preparados;Cuscuz, de milho, cozido com sal;113;2,2;0,7;25,3;2,1;247;;;
534;Alimentos preparados;Cuscuz, paulista;142;2,6;4,6;22,5;2,4;235;;;
535;Alimentos preparados;Cuxá, molho;80;5,6;3,6;5,7;3;1344;;;
536;Alimentos preparados;Dobradinha;124;19,8;4,4;0;NA;28;;;
537;Alimentos preparados;Estrogonofe de carne;173;15;10,8;3;;122;;;
538;Alimentos preparados;Estrogonofe de frango;156;17,6;8;2,6;;99;;;
539;Alimentos preparados;Feijão tropeiro mineiro;151;10,2;6,8;19,6;3,6;365;;;
540;Alimentos preparados;L;116;8,7;6,5;11,6;5,1;278;;;
541;Alimentos preparados;Frango, com açafrão;112;9,7;6,2;4,1;0,2;28;;;
542;Alimentos preparados;Macarrão, molho bolognesa;119;4,9;0,9;22,5;0,8;8;;;
543;Alimentos preparados;Maniçoba;134;10;8,7;3,4;2,2;406;;;
544;Alimentos preparados;Quibebe;86;8,6;2,7;6,6;1,7;246;;;
545;Alimentos preparados;Salada, de legumes, com maionese;96;1,1;7;8,9;2,2;228;;;
546;Alimentos preparados;Salada, de legumes, cozida no vapor;35;2;0,3;7,1;2,5;2;;;
547;Alimentos preparados;Salpicão, de frango;147;13,9;7,8;4,6;0,4;248;;;
548;Alimentos preparados;Sarapatel;122;18,5;4,4;1,1;;215;;;
549;Alimentos preparados;Tabule;57;2;1,2;10,6;2,1;1;;;
550;Alimentos preparados;Tacacá;46;7;0,4;3,4;0,2;1349;;;
551;Alimentos preparados;Tapioca, com manteiga;347;0,1;10,9;63,6;Tr;157;;;
552;Alimentos preparados;Tucupi, com pimenta-de-cheiro;27;2,1;0,3;4,7;0,2;5;;;
553;Alimentos preparados;Vaca atolada;144;5,1;9,3;10,1;2,3;25;;;
554;Alimentos preparados;Vatapá;254;6;23,2;9,7;1,7;879;;;
555;Alimentos preparados;Virado à paulista;306;10,2;25,6;14,1;2,2;345;;;
556;Alimentos preparados;Yakisoba;112;7,5;2,6;18,3;1,1;793;;;
557;Leguminosas e derivados;Amendoim, grão, cru;544;27,2;43,9;20,3;8;Tr;;;
558;Leguminosas e derivados;Amendoim, torrado, salgado;605;22,5;54;18,7;7,8;375;;;
559;Leguminosas e derivados;Ervilha, em vagem;88;7,5;0,5;14,2;9,7;Tr;;;
560;Leguminosas e derivados;Ervilha, enlatada, drenada;73;4,6;0,4;13,4;5,1;372;;;
561;Leguminosas e derivados;Feijão, carioca, cozido;76;4,8;0,5;13,6;8,5;1;;;
562;Leguminosas e derivados;Feijão, carioca, cru;329;20;1,3;61,2;18,4;Tr;;;
563;Leguminosas e derivados;Feijão, fradinho, cozido;78;5,1;0,6;13,5;7,5;0;;;
564;Leguminosas e derivados;Feijão, fradinho, cru;339;20,2;2,4;61,2;23,6;10;;;
565;Leguminosas e derivados;Feijão, jalo, cozido;92;6,1;0,5;16,5;13,9;0;;;
566;Leguminosas e derivados;Feijão, jalo, cru;327;20,1;0,9;61,5;30,3;24;;;
567;Leguminosas e derivados;Feijão, preto, cozido;77;4,5;0,5;14;8,4;1;;;
568;Leguminosas e derivados;Feijão, preto, cru;323;21,3;1,2;58,8;21,8;Tr;;;
569;Leguminosas e derivados;Feijão, rajado, cozido;84;5,5;0,4;15,3;9,3;0;;;
570;Leguminosas e derivados;Feijão, rajado, cru;325;17,3;1,2;62,9;24;13;;;
571;Leguminosas e derivados;Feijão, rosinha, cozido;67;4,5;0,5;11,8;4,8;2;;;
572;Leguminosas e derivados;Feijão, rosinha, cru;336;20,9;1,3;62,2;20,6;24;;;
573;Leguminosas e derivados;Feijão, roxo, cozido;76;5,7;0,5;12,9;11,5;1;;;
574;Leguminosas e derivados;Feijão, roxo, cru;331;22,2;1,2;60;33,8;9;;;
575;Leguminosas e derivados;Grão-de-bico, cru;354;21,2;5,4;57,9;12,4;5;;;
576;Leguminosas e derivados;Guandu, cru;344;19;2,1;64;21,3;1;;;
577;Leguminosas e derivados;Lentilha, cozida;92;6,3;0,5;16,3;7,9;1;;;
578;Leguminosas e derivados;Lentilha, crua;339;23,2;0,8;62;16,9;Tr;;;
579;Leguminosas e derivados;Paçoca, amendoim;486;16;26,1;52,4;7,3;166;;;
580;Leguminosas e derivados;Pé-de-moleque, amendoim;503;13,2;28;54,7;3,4;16;;;
581;Leguminosas e derivados;Soja, farinha;403;36;14,6;38,4;20,2;5;;;
582;Leguminosas e derivados;Soja, extrato solúvel, natural, fluido;39;2,4;1,6;4,3;0,4;56;;;
583;Leguminosas e derivados;Soja, extrato solúvel, pó;458;35,7;26,2;28,5;7,3;83;;;
584;Leguminosas e derivados;Soja, queijo (tofu);64;6,6;4;2,1;0,8;1;;;
585;Leguminosas e derivados;Tremoço, cru;381;33,6;10,3;43,8;32,3;3;;;
586;Leguminosas e derivados;Tremoço, em conserva;120;11,1;3,8;12,4;14,4;1808;;;
587;Nozes e sementes;Amêndoa, torrada, salgada;580;18,6;47,3;29,5;11,6;278;;;
588;Nozes e sementes;Castanha-de-caju, torrada, salgada;570;18,5;46,3;29,1;3,7;125;;;
589;Nozes e sementes;Castanha-do-Brasil, crua;642;14,5;63,5;15,1;7,9;0;;;
590;Nozes e sementes;Coco, cru;406;3,7;42;10,4;5,4;15;;;
591;Nozes e sementes;Coco,  verde, cru;*;*;*;*;*;*;;;
592;Nozes e sementes;Farinha, de mesocarpo de babaçu, crua;328;1,4;0,2;79,2;17,9;12;;;
593;Nozes e sementes;Gergelim, semente;583;21,2;50,4;21,6;11,9;2;;;
594;Nozes e sementes;Linhaça, semente;495;14,1;32,3;43,3;33,5;8;;;
595;Nozes e sementes;Pinhão, cozido;174;3;0,7;43,9;15,6;0;;;
596;Nozes e sementes;Pupunha, cozida;218;2,5;12,8;29,6;4,3;0;;;
597;Nozes e sementes;Noz, crua;620;14;59,4;18,4;7,2;4;;;
